name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,,lgbt_12,year_lgbt_12,Count_universe_12,,lgbt,year_lgbt,Count_universe,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Madam Web (Earth-616),8890,,Bad Characters,,,Female Characters,,Living Characters,2,Apr-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Man-Fish (Earth-616),8891,Secret Identity,Bad Characters,Red Eyes,No Hair,Male Characters,,Living Characters,2,Apr-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Margay Sorenson (Earth-616),8892,No Dual Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,2,Jul-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mister One and Mister Two (Earth-616),8893,,,,,Male Characters,,Living Characters,2,Nov-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Modt (Earth-616),8894,,,,,Undefined Characters,,Living Characters,2,Dec-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Monk Keys (Earth-616),8895,,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Mar-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicodemus (Sorcerer) (Earth-616),8896,Secret Identity,Bad Characters,,Red Hair,Male Characters,,Living Characters,2,Nov-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre Dentifris (Earth-616),8897,,Bad Characters,,White Hair,Male Characters,,Living Characters,2,Feb-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Philip (Earth-616),8898,No Dual Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,2,Jun-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Rider (Earth-616),8899,,,,,Undefined Characters,,Deceased Characters,2,Aug-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Relstor (Earth-616),8900,Public Identity,,,Black Hair,Male Characters,,Living Characters,2,Feb-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Securitron,8901,,,,,Undefined Characters,,Living Characters,2,Feb-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shambler (Earth-616),8902,Secret Identity,Good Characters,,No Hair,Undefined Characters,,Deceased Characters,2,Dec-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Soul-Drinker (Earth-616),8903,Secret Identity,Bad Characters,,,Undefined Characters,,Living Characters,2,Oct-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sporr (Fomalhauti) (Earth-616),8904,,Neutral Characters,,No Hair,Undefined Characters,,Living Characters,2,Feb-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Weems (Earth-616),8905,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Apr-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Ewing (Earth-616),8906,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tri-Animan (Earth-616),8907,,Bad Characters,,,Male Characters,,Deceased Characters,2,Jan-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Visimajoris (Earth-616),8908,,Bad Characters,,,Undefined Characters,,Living Characters,2,Aug-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Werner Eisen (Earth-616),8909,,Bad Characters,,Bald,Male Characters,,Living Characters,2,Feb-77,1977,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Manna (Earth-616),8910,,,,Brown Hair,Male Characters,,Living Characters,2,Dec-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Barok (Earth-616),8911,,Good Characters,,,Male Characters,,Living Characters,2,Oct-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Braden (Earth-616),8912,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,2,Feb-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Barlow (Earth-616),8913,,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jan-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Franz Gerhardt (Earth-616),8914,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemon (Earth-616),8915,No Dual Identity,Neutral Characters,Red Eyes,No Hair,Male Characters,,Living Characters,2,Oct-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hogg (Earth-616),8916,Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Jul-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Wallaby (Earth-616),8917,,,,,Male Characters,,Living Characters,2,Jan-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joseph Danvers, Jr. (Earth-616)",8918,,Neutral Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Jan-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Manipulator (Robot) (Earth-616),8919,Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,2,Dec-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Matani (Earth-616),8920,No Dual Identity,,,Black Hair,Female Characters,,Deceased Characters,2,Aug-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mela (Earth-616),8921,,Good Characters,,Black Hair,Undefined Characters,,Living Characters,2,Oct-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Moran (Earth-616),8922,,Bad Characters,,,Male Characters,,Living Characters,2,Jan-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Beame (Earth-616),8923,,Bad Characters,Red Eyes,Brown Hair,Male Characters,,Living Characters,2,Dec-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Njord (Earth-616),8924,Secret Identity,,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,2,Aug-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer YJ-18 (Earth-616),8925,Public Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roak (Earth-616),8926,,Bad Characters,,,Male Characters,,Living Characters,2,Jan-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sinister Soofi (Earth-616),8927,,Bad Characters,,,Male Characters,,Living Characters,2,Feb-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatia (Earth-616),8928,,Good Characters,,,Undefined Characters,,Living Characters,2,Oct-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tinta (Earth-616),8929,,Good Characters,,,Undefined Characters,,Living Characters,2,Oct-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Yada (Earth-616),8930,No Dual Identity,Good Characters,,White Hair,Female Characters,,Living Characters,2,Oct-78,1978,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeneas (Earth-616),8931,Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Agamemnon (Mythology) (Earth-616),8932,Public Identity,,,,Male Characters,,Deceased Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson Harkov (Earth-616),8933,,,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Argus the One-Eyed,8934,Public Identity,,,Brown Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bloodhawk (Avengers) (Earth-616),8935,Secret Identity,Good Characters,Black Eyes,No Hair,Male Characters,,Deceased Characters,2,Jan-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon (Human) (Earth-616),8936,,Bad Characters,,,Undefined Characters,,Living Characters,2,Oct-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra (Earth-616),8937,,,,Brown Hair,Female Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerberus (Shogun Warriors) (Earth-616),8938,Secret Identity,Bad Characters,,No Hair,Undefined Characters,,Living Characters,2,Aug-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalt (Human) (Earth-616),8939,Public Identity,Bad Characters,White Eyes,No Hair,Undefined Characters,,Living Characters,2,Oct-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Cross (Earth-616),8940,No Dual Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Deceased Characters,2,Apr-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Diomedes (Earth-616),8941,,,,Black Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hagar (Earth-616),8942,Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,2,May-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiram Dobbs (Earth-616),8943,Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,2,Mar-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaketch (Earth-616),8944,Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,2,May-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
James Valkon (Earth-616),8945,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jan-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Diamond (Earth-616),8946,Public Identity,,,,Male Characters,,Living Characters,2,Apr-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Farkas (Earth-616),8947,Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,Dec-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Janacek (Earth-616),8948,,,,,Male Characters,,Living Characters,2,Mar-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Katrinka Janice Clayton (Earth-616),8949,No Dual Identity,,,,Female Characters,,Living Characters,2,Mar-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinar (Earth-616),8950,,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Feb-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Maur-Konn (Earth-616),8951,,Bad Characters,,,Male Characters,,Living Characters,2,Feb-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Menelaus (Earth-616),8952,,,,Black Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Metabo (Earth-616),8953,Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,2,Aug-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Monolith (Alien) (Earth-616),8954,Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,2,Jan-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandarus of Lycia (Earth-616),8955,Public Identity,,,Brown Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Passing Cloud (Earth-616),8956,,Good Characters,White Eyes,White Hair,Male Characters,,Deceased Characters,2,May-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Philoctetes (Earth-616),8957,Public Identity,,,Brown Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Phosphorus (Human) (Earth-616),8958,,Bad Characters,,,Undefined Characters,,Living Characters,2,Oct-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Priam (Earth-616),8959,,,,Black Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Herkowitz (Earth-616),8960,No Dual Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,2,May-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Jones (Earth-616),8961,Public Identity,,Green Eyes,Red Hair,Female Characters,,Living Characters,2,Jun-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sashia (Earth-616),8962,Public Identity,Good Characters,,,Female Characters,,Living Characters,2,Aug-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergei Kotzinin (Earth-616),8963,No Dual Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jul-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Starchild (Earth-616),8964,Secret Identity,Bad Characters,Red Eyes,No Hair,Undefined Characters,,Living Characters,2,Sep-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tawa (Earth-616),8965,Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Nov-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Teacher (Bloodhawk) (Earth-616),8966,Secret Identity,Good Characters,,White Hair,Male Characters,,Living Characters,2,Jan-79,1979,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Verne (Earth-616),8967,Public Identity,Bad Characters,,Bald,Male Characters,,Living Characters,2,Dec-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Syn (Earth-616),8968,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Nov-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexi Kalishnikov (Earth-616),8969,,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfred Tooks (Earth-616),8970,Secret Identity,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Jul-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayan (Earth-616),8971,,Good Characters,,White Hair,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedict Pierce (Earth-616),8972,No Dual Identity,,Brown Eyes,,Male Characters,,Living Characters,2,Nov-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Brute Bashby (Earth-616),8973,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,May-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Delandan (Earth-616),8974,,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Jul-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawn Starr (Earth-616),8975,,,,Blond Hair,Female Characters,,Living Characters,2,May-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephantine (Earth-616),8976,Secret Identity,,,,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eluke (Earth-616),8977,Public Identity,Good Characters,White Eyes,,Male Characters,,Deceased Characters,2,Jul-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fury (Changeling) (Earth-616),8978,Secret Identity,,,,Female Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gamesman (Earth-616),8979,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Mar-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
John Judson (Earth-616),8980,Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Jul-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kan (Earth-616),8981,No Dual Identity,Neutral Characters,,Bald,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Magni Thorson (Earth-616),8982,Secret Identity,Neutral Characters,,Red Hair,Male Characters,,Living Characters,2,Mar-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Toomes (Earth-616),8983,Public Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,2,Jul-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Trudeau (Earth-616),8984,Public Identity,Bad Characters,,,Male Characters,,Living Characters,2,Aug-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Minotaurus (Earth-616),8985,Secret Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mister Whitman (Earth-616),8986,No Dual Identity,Neutral Characters,,Grey Hair,Male Characters,,Living Characters,2,Dec-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Modi Thorson (Earth-616),8987,Secret Identity,Neutral Characters,,Red Hair,Male Characters,,Living Characters,2,Mar-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Neptunus (Earth-616),8988,Secret Identity,,,,Male Characters,,Living Characters,2,Sep-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantherus (Earth-616),8989,Secret Identity,,,,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roy (Earth-616),8990,Public Identity,,,,Male Characters,,Living Characters,2,May-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheila Marks (Earth-616),8991,,,,,Female Characters,,Living Characters,2,Feb-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Svarog (Earth-616),8992,Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Oct-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Vali (Earth-616),8993,,,,,Male Characters,,Living Characters,2,Mar-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Viperus (Earth-616),8994,Secret Identity,,,,Male Characters,,Living Characters,2,Sep-80,1980,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegir (Earth-616),8995,No Dual Identity,,,,Male Characters,,Living Characters,2,May-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Air (Elementals) (Earth-616),8996,,Neutral Characters,,,Undefined Characters,,Living Characters,2,Jul-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Vito (Earth-616),8997,Public Identity,,,Black Hair,Male Characters,,Living Characters,2,Aug-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Beverly Matheson (Earth-616),8998,No Dual Identity,Good Characters,,,Female Characters,,Living Characters,2,Mar-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dephine (Earth-616),8999,Secret Identity,Good Characters,Blue Eyes,Green Hair,Female Characters,,Living Characters,2,Jun-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter Quentin (Earth-616),9000,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,2,Mar-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth (Elementals) (Earth-616),9001,,Neutral Characters,,,Undefined Characters,,Living Characters,2,Jul-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Eva Krauss (Earth-616),9002,Public Identity,Good Characters,,Grey Hair,Female Characters,,Living Characters,2,Dec-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire (Elementals) (Earth-616),9003,,Neutral Characters,,,Undefined Characters,,Living Characters,2,Jul-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Galactic Destroyer (Earth-616),9004,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Dec-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorn (Warrior) (Earth-616),9005,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Deceased Characters,2,Oct-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Becker (Earth-616),9006,Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Dec-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jock Forrester (Earth-616),9007,Public Identity,,,,Male Characters,,Deceased Characters,2,Apr-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Grimly (Earth-616),9008,,Bad Characters,,Grey Hair,Male Characters,,Living Characters,2,Sep-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Baxendale (Earth-616),9009,,Bad Characters,,,Male Characters,,Living Characters,2,Jan-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Matheson (Earth-616),9010,Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Mar-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro (Earth-616),9011,,Bad Characters,Brown Eyes,Red Hair,Male Characters,,Living Characters,2,Jul-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip le Guin (Earth-616),9012,Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,2,Dec-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rufus Carter (Earth-616),9013,,,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Jan-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep (Earth-616),9014,Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,May-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadow Lord (Earth-616),9015,Secret Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,2,May-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Shu Han (Earth-616),9016,Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,2,Mar-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Sibylla (Earth-616),9017,Public Identity,,,,Female Characters,,Living Characters,2,Apr-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Solon Stabilizer (Earth-616),9018,Public Identity,Neutral Characters,,,Female Characters,,Living Characters,2,Dec-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Tani Uiruson (Earth-616),9019,,Bad Characters,,,Male Characters,,Living Characters,2,Aug-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyrio (Earth-616),9020,,,,,Male Characters,,Living Characters,2,Apr-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Water (Elementals) (Earth-616),9021,,Neutral Characters,,,Undefined Characters,,Living Characters,2,Jul-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
William Liu (Earth-616),9022,,,,Black Hair,Male Characters,,Deceased Characters,2,Feb-81,1981,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Lincoln (Robot) (Earth-616),9023,Secret Identity,Neutral Characters,Grey Eyes,Brown Hair,Male Characters,,Living Characters,2,May-82,1982,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcemides (Earth-616),9024,No Dual Identity,Good Characters,,White Hair,Male Characters,,Living Characters,2,Jul-82,1982,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Amergin (Earth-616),9025,,,,Grey Hair,Male Characters,,Deceased Characters,2,Nov-82,1982,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Chekhov (Earth-616),9026,No Dual Identity,Good Characters,Brown Eyes,Bald,Male Characters,,Living Characters,2,Dec-82,1982,,,,,,,,,,,,1995,0,,,,,,,,,,,,,,,,,,,,,,,,,,
