name_marvel,number_marvel,id_marvel,align_marvel,eye_marvel,hair_marvel,sex_marvel,gsm,alive,appearances_marvel,firstappearances_marvel,year_marvel,yearsgrouped_marvel,femalepercentage_marvel,firstfemaleappearance percentage_marvel,year,gender_f,alignmentpercentage_f,gender_m,alignmentpercentage_m,Column1,gsm,year_marvel,gsm_dc,year_dc,,,,,,name_dc,number_dc,id_dc,align_dc,eye_dc,hair_dc,sex_dc,gsm_dc,alive_dc,appearances_dc,firstappearances_dc,year_dc,yearsgrouped_dc,femalepercentage_dc,firstfemaleappearance percentage_dc,Year_1,Column_f,Value_f,Column1,Column_m,Value_m
Diamond Head (Earth-616),8682,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Jun-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doctor Kronton (Earth-616),8683,Secret Identity,,,Brown Hair,Male Characters,,Deceased Characters,2,Feb-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draxon (Earth-616),8684,Public Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,2,Nov-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimlet (Earth-616),8685,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Aug-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Van Nyborg (Earth-616),8686,,Bad Characters,,,Male Characters,,Living Characters,2,Apr-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaliban (Earth-616),8687,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,2,Jun-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miklos Vryolak (Earth-616),8688,Secret Identity,,,Brown Hair,Male Characters,,Deceased Characters,2,Apr-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MK-5 (Earth-616),8689,Secret Identity,Good Characters,Yellow Eyes,Blond Hair,Male Characters,,Deceased Characters,2,Dec-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mogol (Earth-616),8690,No Dual Identity,Neutral Characters,White Eyes,Bald,Male Characters,,Deceased Characters,2,May-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigel Carruthers (Earth-616),8691,,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Jan-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polyphemus (Earth-616),8692,Public Identity,Bad Characters,One Eye,Bald,Male Characters,,Living Characters,2,Sep-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Archer (Earth-616),8693,,Bad Characters,,Grey Hair,Male Characters,,Deceased Characters,2,Jun-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saburo Yoshida (Earth-616),8694,Public Identity,Good Characters,,,Male Characters,,Deceased Characters,2,Jan-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scylla (Earth-616),8695,Public Identity,Bad Characters,,No Hair,Female Characters,,Living Characters,2,Sep-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starr (Earth-616),8696,,Good Characters,,,Male Characters,,Living Characters,2,Apr-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Su (Earth-616),8697,,,Black Eyes,Bald,Male Characters,,Living Characters,2,Sep-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trull (Earth-616),8698,,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Apr-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Val-Larr (Earth-616),8699,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Jun-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Sterling (Earth-616),8700,,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jun-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zoga (Robot) (Earth-616),8701,Secret Identity,,,,Male Characters,,Living Characters,2,Oct-70,1970,,,,,,,,,,,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asmodeus (Inhuman) (Earth-616),8702,No Dual Identity,Neutral Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,2,Dec-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aunt Serr (Earth-616),8703,Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,2,Sep-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condor (Daredevil Foe) (Earth-616),8704,Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,2,Apr-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Arnstead (Earth-616),8705,Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Oct-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demitrius (Earth-616),8706,Secret Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,2,Sep-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik Gorbo (Earth-616),8707,,Bad Characters,,,Male Characters,,Deceased Characters,2,Mar-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farley London (Earth-616),8708,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Jan-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian of Infinity (Earth-616),8709,,,,,Male Characters,,Living Characters,2,Feb-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iranda (Earth-616),8710,Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,2,Dec-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karl Serr (Earth-616),8711,,Bad Characters,,No Hair,Male Characters,,Living Characters,2,Sep-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucile Serr (Earth-616),8712,,Good Characters,,Brown Hair,Female Characters,,Living Characters,2,Sep-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neron-Alak (Earth-616),8713,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Feb-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proteus (Atlantean Sage) (Earth-616),8714,,Good Characters,,,Male Characters,,Living Characters,2,Apr-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raama (Earth-616),8715,Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,2,Mar-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Cosgrove (Earth-616),8716,Public Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,2,May-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramrod (alien) (Earth-616),8717,Secret Identity,Bad Characters,Black Eyes,No Hair,Male Characters,,Living Characters,2,Apr-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samson Washington (Earth-616),8718,Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Jan-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shara-Lee (Earth-616),8719,Public Identity,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Deceased Characters,2,Jul-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slasher (Earth-616),8720,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Sep-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spymaster (Original) (Earth-616),8721,Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,2,Jan-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvia (Earth-616),8722,No Dual Identity,Neutral Characters,,Brown Hair,Female Characters,,Living Characters,2,Jun-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Dragon (Iron Man) (Earth-616),8723,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jul-71,1971,,,,,,,,,,,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barton Blaze (Earth-616),8724,,,,,Male Characters,,Deceased Characters,2,Aug-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bert Tacker (Earth-616),8725,,Bad Characters,,,Male Characters,,Living Characters,2,Jul-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulwar (Asgard) (Earth-616),8726,,Good Characters,,White Hair,Male Characters,,Living Characters,2,Jan-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calizuma (Earth-616),8727,Secret Identity,Bad Characters,,,Male Characters,,Living Characters,2,Oct-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiron (Inhuman) (Earth-616),8728,,,,,Male Characters,,Living Characters,2,Dec-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emory Simpson (Earth-616),8729,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,2,May-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fialan (Earth-616),8730,,Bad Characters,Green Eyes,Bald,Male Characters,,Living Characters,2,Feb-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flaidermaus (Earth-616),8731,,,Red Eyes,Orange Hair,Male Characters,,Living Characters,2,Dec-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregson Grant (Earth-616),8732,,Neutral Characters,,,Male Characters,,Living Characters,2,Nov-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Warren Craddock (Earth-616),8733,,Good Characters,,,Male Characters,,Living Characters,2,Mar-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Bolt (Earth-616),8734,Public Identity,Good Characters,,,Male Characters,,Living Characters,2,Jul-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarr (Earth-616),8735,Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Sep-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson Bolt (Earth-616),8736,Public Identity,Neutral Characters,,Black Hair,Male Characters,,Deceased Characters,2,Jul-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jules Carter (Earth-616),8737,,Bad Characters,,,Undefined Characters,,Living Characters,2,Sep-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khan (Asgard) (Earth-616),8738,,Good Characters,,,Male Characters,,Living Characters,2,Jan-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monck (Earth-616),8739,,Bad Characters,,,Male Characters,,Living Characters,2,Oct-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Baker (Earth-616),8740,Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,2,Mar-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinyon (Earth-616),8741,,,,No Hair,Male Characters,,Living Characters,2,Dec-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Bruce Banner (Counter-Earth) (Earth-616),8742,No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,Dec-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Dutton (Earth-616),8743,No Dual Identity,Neutral Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,2,Apr-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rongor (Asgard) (Earth-616),8744,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,2,Jan-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satrina (Earth-616),8745,,Good Characters,,,Female Characters,,Living Characters,2,Feb-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strug (Earth-616),8746,,Neutral Characters,,Bald,Male Characters,,Deceased Characters,2,Jun-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torg the Abominable Snow-King (Earth-616),8747,Secret Identity,Bad Characters,Black Eyes,Blue Hair,Male Characters,,Living Characters,2,Nov-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrr (Earth-616),8748,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,2,Sep-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whitemane (Asgard) (Earth-616),8749,,Good Characters,,White Hair,Male Characters,,Living Characters,2,Jan-72,1972,,,,,,,,,,,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariel (Zephyrean) (Earth-616),8750,,,,White Hair,Male Characters,,Living Characters,2,Aug-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Saint (Earth-616),8751,,Bad Characters,,,Female Characters,,Deceased Characters,2,Oct-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandu (Earth-616),8752,Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Dec-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filius Omen (Earth-616),8753,Public Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Jun-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Jenks (Earth-616),8754,,Good Characters,,,Male Characters,,Living Characters,2,Jan-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry Pace (Earth-616),8755,Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,2,Feb-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hektu (Earth-616),8756,Public Identity,,,Brown Hair,Male Characters,,Living Characters,2,Oct-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilda Zemo (Earth-616),8757,Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Female Characters,,Deceased Characters,2,Dec-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugh McCoy (Earth-616),8758,Public Identity,Bad Characters,,Blond Hair,Male Characters,,Living Characters,2,Feb-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Frankenstein (Earth-616),8759,,,,,Male Characters,,Living Characters,2,Oct-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Glatzer (Earth-616),8760,Public Identity,Bad Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,2,Aug-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kagg (Earth-616),8761,,,,,Male Characters,,Living Characters,2,Aug-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Living Buddha (Earth-616),8762,Secret Identity,Bad Characters,Green Eyes,Black Hair,Male Characters,,Deceased Characters,2,Jul-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorna Zane (Earth-616),8763,,Neutral Characters,,Brown Hair,Female Characters,,Living Characters,2,Feb-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcia Deaton (Earth-616),8764,Public Identity,,,Brown Hair,Female Characters,,Living Characters,2,Jan-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moose Morgan (Earth-616),8765,Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,2,Apr-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nergal,8766,Secret Identity,Bad Characters,Black Eyes,,Undefined Characters,,Living Characters,2,Sep-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quellor (Earth-616),8767,,Bad Characters,,,Male Characters,,Living Characters,2,Aug-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rihva (Earth-616),8768,,Bad Characters,,,Male Characters,,Deceased Characters,2,Jun-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rothgar (Earth-616),8769,,,,Blond Hair,Male Characters,,Living Characters,2,Aug-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarnak (Earth-616),8770,Secret Identity,Bad Characters,,Blond Hair,Male Characters,,Deceased Characters,2,Sep-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slugger Johnson (Earth-616),8771,,,,,Undefined Characters,,Living Characters,2,Jul-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammuz (Earth-616),8772,,,,,Male Characters,,Living Characters,2,Sep-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ulla (Earth-616),8773,Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,2,Apr-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volpan (Earth-616),8774,Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,2,Jul-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yezdigerd (Earth-616),8775,No Dual Identity,,Black Eyes,Black Hair,Male Characters,,Living Characters,2,Apr-73,1973,,,,,,,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent of Heaven (Earth-616),8776,Secret Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,2,Jun-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypse (Mr.Kazarian) (Earth-616),8777,Secret Identity,Bad Characters,,,Undefined Characters,,Deceased Characters,2,Oct-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Behemoth (Kay-Twelve) (Earth-616),8778,,Bad Characters,,,Male Characters,,Living Characters,2,May-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Wrangle (Earth-616),8779,Public Identity,Bad Characters,,,Male Characters,,Deceased Characters,2,Jan-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaga (Earth-616),8780,No Dual Identity,Good Characters,,Purple Hair,Female Characters,,Living Characters,2,Apr-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danton Vayla (Earth-616),8781,No Dual Identity,Bad Characters,,Bald,Male Characters,,Deceased Characters,2,Oct-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Mannery (Earth-616),8782,Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,2,Apr-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebrok (Earth-616),8783,,,,,Male Characters,,Living Characters,2,Jun-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elianne Turac (Earth-616),8784,No Dual Identity,Bad Characters,White Eyes,Black Hair,Female Characters,,Deceased Characters,2,Dec-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ezekiel Tork (Earth-616),8785,Public Identity,Good Characters,,White Hair,Male Characters,,Living Characters,2,Sep-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ferguson Blaine (Earth-616),8786,Public Identity,,,,Male Characters,,Living Characters,2,Feb-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gail Paris (Earth-616),8787,Public Identity,,,,Female Characters,,Living Characters,2,Aug-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garvey (Earth-616),8788,Public Identity,,Brown Eyes,Brown Hair,Male Characters,,Living Characters,2,May-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giuseppe Montesi (Earth-616),8789,,Good Characters,,,Male Characters,,Living Characters,2,May-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granitor (Earth-616),8790,Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,2,Feb-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunchback of Notre Dame (Earth-616),8791,No Dual Identity,Bad Characters,,Brown Hair,Male Characters,,Deceased Characters,2,Apr-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inanna (Earth-616),8792,Public Identity,Bad Characters,Violet Eyes,,Female Characters,,Deceased Characters,2,Jul-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Cord (Earth-616),8793,Public Identity,,,,Male Characters,,Deceased Characters,2,Nov-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kometes (Earth-616),8794,,Neutral Characters,,,Male Characters,,Deceased Characters,2,Jul-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liza Pyne (Earth-616),8795,Public Identity,Bad Characters,,Blond Hair,Female Characters,,Deceased Characters,2,Jan-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizhardus (Earth-616),8796,,Bad Characters,,No Hair,Male Characters,,Living Characters,2,Jun-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lord Karnaj (Earth-616),8797,,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,2,Sep-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma Mayhem (Earth-616),8798,Secret Identity,Bad Characters,,Blond Hair,Female Characters,,Living Characters,2,Jun-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malgato (Earth-616),8799,Secret Identity,Bad Characters,,Bald,Male Characters,,Living Characters,2,Jan-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maybelle Tork (Earth-616),8800,Public Identity,Neutral Characters,,Blond Hair,Female Characters,,Living Characters,2,Sep-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mister Slick (Earth-616),8801,Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,2,Jun-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Molecule Man (Artifical Construct) (Earth-616),8802,,Bad Characters,,,Male Characters,,Living Characters,2,Jan-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nestos (Earth-616),8803,No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,2,Apr-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Bordia (Earth-616),8804,Public Identity,Bad Characters,Brown Eyes,Grey Hair,Male Characters,,Living Characters,2,Jan-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paxton Pentecost (Earth-616),8805,Public Identity,,,,Male Characters,,Living Characters,2,Feb-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phineas T. Coroner (Earth-616),8806,,Bad Characters,,,Male Characters,,Living Characters,2,Oct-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razorblade (Earth-616),8807,,Bad Characters,,Black Hair,Male Characters,,Living Characters,2,Dec-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Russo (Earth-616),8808,Public Identity,Good Characters,,Light Brown Hair,Male Characters,,Living Characters,2,Oct-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanford (Earth-616),8809,Public Identity,Neutral Characters,,Red Hair,Male Characters,,Living Characters,2,Jan-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scythe (Mercenary) (Earth-616),8810,,Bad Characters,,,Male Characters,,Living Characters,2,Jul-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shu-Hu (Earth-616),8811,,Neutral Characters,,,Undefined Characters,,Living Characters,2,May-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snatos (Earth-616),8812,No Dual Identity,Bad Characters,,,Male Characters,,Living Characters,2,Mar-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ternak (Earth-616),8813,Public Identity,Bad Characters,,,Male Characters,,Living Characters,2,Apr-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thugra Khothan (Earth-616),8814,Public Identity,,,Black Hair,Male Characters,,Deceased Characters,2,Oct-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tragg (Carnival) (Earth-616),8815,Public Identity,,,,Male Characters,,Living Characters,2,May-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wally Bevins (Earth-616),8816,Public Identity,,,,Male Characters,,Living Characters,2,Aug-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zofia Dracula (Earth-616),8817,Public Identity,Good Characters,,Black Hair,Female Characters,,Deceased Characters,2,Jun-74,1974,,,,,,,,,,,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemoid (Earth-616),8818,,Bad Characters,,,Undefined Characters,,Deceased Characters,2,Jul-75,1975,,,,,,,,,,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
